,Patron_ID,Item_ID
0,10010,4240
1,13341,4240
2,13341,4240
3,17969,4240
4,17969,4240
5,10041,3570
6,10041,3570
7,12516,3570
8,12516,3570
9,16505,3570
10,16505,3570
11,10041,1240
12,10041,1240
13,12923,1240
14,12923,1240
15,12948,1240
16,12948,1240
17,13354,1240
18,13354,1240
19,13354,1240
20,13354,1240
21,13354,1240
22,13354,1240
23,16279,1240
24,16279,1240
25,10041,2094
26,10041,2094
27,12948,2094
28,12948,2094
29,13354,2094
30,13354,2094
31,13354,2094
32,13354,2094
33,17193,2094
34,17193,2094
35,10041,528
36,10041,528
37,10041,528
38,10041,528
39,10041,528
40,10041,528
41,10041,528
42,10041,528
43,10041,528
44,10041,528
45,13182,528
46,13182,528
47,13247,528
48,13247,528
49,13413,528
50,13413,528
51,13645,528
52,13645,528
53,14007,528
54,14007,528
55,17515,528
56,17515,528
57,10041,2394
58,10041,2394
59,12444,2394
60,12444,2394
61,12939,2394
62,12939,2394
63,17785,2394
64,17785,2394
65,10041,3512
66,10041,3512
67,13638,3512
68,13638,3512
69,16954,3512
70,16954,3512
71,10041,6187
72,10041,6187
73,12346,6187
74,12346,6187
75,10041,192
76,10041,192
77,12664,192
78,12664,192
79,12819,192
80,12819,192
81,12819,192
82,12819,192
83,12941,192
84,12941,192
85,13061,192
86,13061,192
87,13063,192
88,13063,192
89,13063,192
90,13063,192
91,13217,192
92,13217,192
93,13476,192
94,13476,192
95,13641,192
96,13641,192
97,13677,192
98,13677,192
99,13807,192
100,13807,192
101,17657,192
102,17657,192
103,17667,192
104,17667,192
105,17730,192
106,17730,192
107,17955,192
108,17955,192
109,10041,82
110,10041,82
111,11400,82
112,11400,82
113,12459,82
114,12459,82
115,12459,82
116,12459,82
117,13014,82
118,13014,82
119,13063,82
120,13063,82
121,13115,82
122,13115,82
123,13182,82
124,13182,82
125,13320,82
126,13320,82
127,13421,82
128,13421,82
129,13458,82
130,13458,82
131,13471,82
132,13471,82
133,13528,82
134,13528,82
135,13655,82
136,13655,82
137,13784,82
138,13784,82
139,13830,82
140,13830,82
141,17219,82
142,17219,82
143,17366,82
144,17366,82
145,17366,82
146,17657,82
147,17657,82
148,17706,82
149,17706,82
150,17884,82
151,17884,82
152,18038,82
153,18038,82
154,10041,1534
155,10041,1534
156,13300,1534
157,13300,1534
158,13717,1534
159,13717,1534
160,13738,1534
161,13738,1534
162,17884,1534
163,17884,1534
164,18112,1534
165,18112,1534
166,10041,5520
167,10041,5520
168,12346,5520
169,12346,5520
170,10041,373
171,10041,373
172,11412,373
173,11412,373
174,12941,373
175,12941,373
176,12948,373
177,12948,373
178,12951,373
179,12951,373
180,13063,373
181,13063,373
182,13558,373
183,13558,373
184,13710,373
185,13710,373
186,13856,373
187,13856,373
188,16302,373
189,16302,373
190,17955,373
191,17955,373
192,17975,373
193,17975,373
194,18124,373
195,18124,373
196,10041,256
197,10041,256
198,12939,256
199,12939,256
200,12939,256
201,12939,256
202,13060,256
203,13060,256
204,13060,256
205,13060,256
206,13063,256
207,13063,256
208,13300,256
209,13300,256
210,13354,256
211,13354,256
212,13441,256
213,13441,256
214,13476,256
215,13476,256
216,13548,256
217,13548,256
218,13613,256
219,13613,256
220,13738,256
221,13738,256
222,17219,256
223,17219,256
224,17657,256
225,17657,256
226,10041,1344
227,10041,1344
228,13039,1344
229,13039,1344
230,13287,1344
231,13287,1344
232,13966,1344
233,13966,1344
234,15891,1344
235,15891,1344
236,16954,1344
237,16954,1344
238,17620,1344
239,17620,1344
240,10041,4613
241,10041,4613
242,12310,4613
243,12310,4613
244,10041,3011
245,10041,3011
246,11443,3011
247,11443,3011
248,13287,3011
249,13832,3011
250,13832,3011
251,10041,2930
252,10041,2930
253,13766,2930
254,13766,2930
255,13766,2930
256,13766,2930
257,16062,2930
258,16062,2930
259,10041,249
260,10041,249
261,10041,249
262,10041,249
263,12579,249
264,12579,249
265,12951,249
266,12951,249
267,13217,249
268,13217,249
269,13247,249
270,13247,249
271,13262,249
272,13262,249
273,13313,249
274,13313,249
275,13441,249
276,13441,249
277,13477,249
278,13477,249
279,13655,249
280,13655,249
281,13766,249
282,13766,249
283,13993,249
284,13993,249
285,14043,249
286,16062,249
287,16062,249
288,17620,249
289,17620,249
290,10041,284
291,10041,284
292,12413,284
293,12413,284
294,12413,284
295,12413,284
296,12413,284
297,12413,284
298,12579,284
299,12579,284
300,13014,284
301,13014,284
302,13080,284
303,13080,284
304,13400,284
305,13400,284
306,13655,284
307,13655,284
308,17219,284
309,17730,284
310,17730,284
311,17730,284
312,17730,284
313,17785,284
314,17785,284
315,17950,284
316,17950,284
317,18112,284
318,18112,284
319,10041,2677
320,10041,2677
321,10074,2677
322,10074,2677
323,16573,2677
324,16573,2677
325,16945,2677
326,16945,2677
327,10041,1864
328,10041,1864
329,10194,1864
330,13054,1864
